F1,F2,F3,class
450,1950,2550,2
350,1900,2500,2
300,2000,2600,2
300,1500,2400,2
350,2100,2500,2
300,1900,2500,2
350,1900,2600,2
300,1800,2600,2
250,1800,2600,2
300,2100,2600,2
350,1800,2600,2
400,2200,2600,2
400,2200,2600,2
400,1900,2600,2
450,2200,2900,2
300,2150,2750,2
300,2250,3000,2
300,2250,2850,2
300,2200,2900,2
300,2200,2900,2
350,2300,3000,2
300,2400,3200,2
300,2300,3100,2
300,2250,3100,2
350,2250,3000,2
350,2250,2900,2
350,2300,3100,2
400,2400,2970,2
350,2250,2970,2
300,2200,2970,2
350,2200,2970,2
400,2250,2970,2
350,2300,2970,2
350,2300,2970,2
400,2100,2970,2
350,2200,2970,2
300,2250,2970,2
300,2150,2970,2
350,2200,2970,2
400,2350,2970,2
400,2100,2970,2
400,2200,2970,2
300,2300,2970,2
400,2300,2970,2
300,2250,2970,2
350,2200,2970,2
300,2150,2970,2
300,2300,2970,2
300,2400,2970,2
300,2200,2800,2
350,2250,2800,2
350,2200,2700,2
350,2200,3000,2
300,2300,2800,2
300,2300,2800,2
300,2300,2800,2
300,2350,2800,2
300,2300,2800,2
300,2300,2800,2
300,2200,2800,2
300,2350,2800,2
300,2200,2800,2
300,2100,2800,2
350,2300,2800,2
350,2300,2800,2
350,2350,2800,2
300,2200,2800,2
300,2350,2800,2
350,2150,2450,2
400,2300,2500,2
500,2300,2750,2
400,2250,2700,2
400,2250,2700,2
360,2250,2650,2
400,2150,2600,2
450,2150,2600,2
400,2300,2900,2
400,2250,2800,2
400,2250,2700,2
400,2250,2800,2
400,2200,2650,2
350,2300,2750,2
350,2250,2700,2
350,2250,2700,2
350,2250,2600,2
400,2250,2600,2
350,2200,2600,2
450,2200,2700,2
400,2150,2700,2
300,2100,2600,2
300,2100,2600,2
300,2100,2600,2
300,2200,2700,2
300,2050,2600,2
300,2100,2600,2
300,2100,2500,2
300,2100,2500,2
300,2200,2700,2
300,2100,2700,2
300,2100,2500,2
300,2100,2630,2
300,2550,3100,2
300,2500,3100,2
300,2400,3000,2
300,2500,3150,2
300,2500,3000,2
300,2400,3100,2
300,2350,3000,2
300,2400,3000,2
300,2400,3100,2
300,2400,3100,2
300,2300,2900,2
300,2400,3100,2
350,2500,3200,2
350,2400,2900,2
350,2400,3200,2
350,2300,3000,2
300,2350,3100,2
300,2350,3100,2
300,2300,3100,2
350,2250,3000,2
300,2250,3000,2
300,2400,3150,2
350,2350,3200,2
350,2500,3200,2
350,2400,3100,2
350,2400,3150,2
350,2550,3200,2
350,2500,3200,2
300,2400,3080,2
350,2300,3080,2
300,2250,3080,2
400,2500,3080,2
300,2300,3080,2
400,1150,2500,3
300,900,2500,3
350,900,2500,3
300,1200,2500,3
350,1000,2500,3
350,1100,2500,3
350,1250,2500,3
400,1150,2500,3
450,1150,2500,3
350,1100,2500,3
350,1050,2500,3
400,1250,2500,3
350,1150,2500,3
350,900,2500,3
400,1000,2500,3
400,1200,2500,3
400,1200,2500,3
400,1000,2500,3
500,1400,2350,3
450,1000,1800,3
450,950,2300,3
400,1100,2000,3
350,900,2400,3
350,900,2300,3
350,1050,2300,3
300,1050,2300,3
300,1100,2300,3
400,1000,2000,3
400,1200,1900,3
400,1150,1850,3
300,1200,2300,3
350,1100,2300,3
350,1250,2300,3
350,1100,2300,3
300,1000,2300,3
350,1150,2300,3
350,1050,2300,3
400,1050,2300,3
350,1000,2300,3
500,1100,2300,3
400,1100,2300,3
350,1200,2300,3
350,1000,2300,3
350,1200,2300,3
500,1300,2300,3
400,1000,2800,3
350,900,2500,3
400,1000,2700,3
350,1050,2600,3
400,900,2800,3
350,900,2600,3
300,900,2700,3
300,1000,2400,3
300,1100,2800,3
350,1000,2700,3
350,800,2300,3
400,1000,2700,3
450,1000,2700,3
400,1050,2700,3
350,850,2700,3
350,900,2700,3
350,800,2700,3
350,1100,2700,3
400,1050,2700,3
500,1100,2700,3
400,900,2700,3
400,1000,2700,3
350,950,2700,3
350,1100,2700,3
350,1100,2700,3
350,1150,2700,3
400,900,2500,3
400,1000,2400,3
350,800,2500,3
350,900,2600,3
400,1000,2700,3
400,900,2600,3
400,900,2600,3
400,850,2500,3
350,800,2600,3
350,900,2600,3
400,1000,2600,3
350,1150,2600,3
350,750,2600,3
350,900,2600,3
350,900,2600,3
350,1000,2600,3
350,800,2600,3
350,800,2600,3
350,800,2600,3
350,900,2600,3
400,900,2600,3
350,1000,2600,3
400,1000,2600,3
350,1000,2400,3
380,950,2500,3
300,900,2400,3
300,1000,2600,3
300,900,2350,3
300,1000,2300,3
350,1000,2500,3
350,900,2400,3
300,900,2400,3
300,950,2400,3
350,1100,2400,3
350,1000,2400,3
300,900,2400,3
300,950,2400,3
350,1000,2400,3
300,1000,2400,3
300,850,2400,3
300,1000,2400,3
300,850,2400,3
350,850,2400,3
300,900,2400,3
350,900,2400,3
300,900,2400,3
350,900,2400,3
300,950,2400,3
350,900,2400,3
350,1000,2400,3
300,800,2400,3
300,900,2400,3
350,850,2400,3
350,950,2400,3
300,1000,2400,3
350,900,2600,3
350,900,2600,3
300,1000,2600,3
300,900,2550,3
400,900,2600,3
350,950,2700,3
350,900,2700,3
350,950,2700,3
350,850,2700,3
400,850,2600,3
350,800,2600,3
300,1000,2400,3
350,850,2600,3
350,900,2600,3
350,850,2700,3
350,850,2600,3
350,700,2630,3
350,800,2630,3
350,800,2630,3
350,800,2630,3
350,900,2630,3
350,1000,2630,3
400,900,2630,3
350,900,2630,3
400,950,2630,3
500,2000,2750,4
550,1800,2700,4
550,1950,2800,4
600,1900,2700,4
550,1900,2550,4
500,1900,2700,4
500,1900,2600,4
650,2000,2700,4
600,1900,2400,4
600,1900,2650,4
600,2000,2650,4
500,1900,2650,4
500,2000,2400,4
600,1900,2400,4
500,1700,2400,4
500,1850,2550,4
500,1980,2750,4
500,1600,2500,4
500,1900,2600,4
450,1800,2400,4
500,1850,2400,4
500,1750,2400,4
550,1750,2550,4
500,1900,2600,4
450,1800,2600,4
600,1850,2600,4
600,1800,2600,4
550,2100,2600,4
500,2000,2600,4
500,1700,2600,4
500,1900,2600,4
550,1800,2600,4
500,2000,2600,4
500,1500,2500,4
550,1500,2400,4
500,1500,2400,4
600,1500,2500,4
600,1800,2500,4
550,1600,2400,4
600,1600,2300,4
550,1600,2500,4
550,1500,2500,4
550,1700,2400,4
500,1500,2400,4
500,1600,2500,4
500,1600,2300,4
450,1650,2400,4
500,1550,2200,4
450,1500,2300,4
400,1250,2400,4
400,1300,2400,4
400,1200,2000,4
600,1750,2500,4
400,1750,2450,4
500,1600,2500,4
550,1600,2450,4
550,1500,2450,4
500,1550,2450,4
400,1700,2450,4
500,1600,2450,4
450,1400,2450,4
500,1300,2450,4
500,1750,2450,4
450,1350,2450,4
400,1750,2450,4
500,1800,2450,4
500,1700,2450,4
550,1500,2450,4
500,1800,2450,4
700,1850,3100,4
700,2000,3100,4
750,2050,3100,4
700,1900,2700,4
650,2000,2800,4
650,2000,2700,4
650,1850,2600,4
600,1850,2500,4
650,1800,2750,4
550,1800,2700,4
600,1850,2500,4
550,1750,2600,4
500,2000,2600,4
600,2100,2650,4
700,1800,2500,4
500,2000,2850,4
500,2200,2700,4
500,2100,2850,4
500,2100,2600,4
400,1900,2700,4
550,1850,2800,4
500,1800,2600,4
500,1900,2700,4
600,1800,2800,4
650,1850,2700,4
550,2200,2600,4
550,1950,2800,4
600,1800,2800,4
550,1750,2700,4
650,1850,2700,4
600,1750,2750,4
550,1800,2750,4
650,1900,2700,4
650,1850,2700,4
900,2050,2700,4
500,2200,2700,4
500,2150,2700,4
500,2000,2700,4
500,1850,2700,4
550,1900,2700,4
550,2100,2700,4
550,2000,2600,4
550,2000,2600,4
550,2000,2500,4
600,2100,2650,4
500,2000,2600,4
400,2000,2600,4
550,1900,2700,4
550,2000,2800,4
500,2000,2600,4
550,2000,2500,4
450,2000,2550,4
400,2000,2600,4
400,2100,2600,4
400,2000,2500,4
400,1900,2500,4
400,2000,2600,4
400,2000,2500,4
500,2000,2500,4
400,2000,2600,4
400,2000,2600,4
450,2000,2500,4
400,2100,2500,4
400,1900,2500,4
400,1900,2300,4
400,2000,2500,4
500,2100,2600,4
500,2300,2600,4
450,1200,2600,4
500,1300,2500,4
500,1200,2500,4
450,1800,2400,4
450,1600,2200,4
450,1800,2500,4
450,1800,2500,4
450,1300,2500,4
450,1800,2500,4
450,1800,2500,4
400,1800,2500,4
400,1550,2400,4
400,1300,2500,4
450,1300,2500,4
400,1300,2500,4
450,1300,2500,4
500,1400,2500,4
550,1400,2600,4
500,1650,2500,4
400,1800,2500,4
450,1400,2500,4
400,1800,2500,4
500,1300,2500,4
500,1300,2500,4
450,1350,2500,4
450,1850,2600,4
350,1800,2500,4
400,1850,2500,4
350,1850,2500,4
400,2000,2550,4
500,1800,2300,4
400,2000,2500,4
500,2300,2870,4
700,1900,2870,4
650,1900,2870,4
650,1900,2700,4
500,2250,2900,4
450,2300,2850,4
450,2300,3000,4
400,2400,3000,4
600,2150,3050,4
450,2200,3000,4
450,2250,2900,4
400,2200,2900,4
400,2100,2850,4
400,2250,2800,4
550,2150,2800,4
500,2200,2800,4
450,2250,2800,4
700,1850,2900,4
500,2200,2900,4
400,2200,2800,4
400,2300,2850,4
450,2250,2800,4
400,2300,2900,4
500,2400,2900,4
500,2300,3000,4
400,2400,3000,4
500,2100,2700,4
450,2200,2800,4
400,2250,2400,4
500,2250,2900,4
500,2200,2900,4
400,2200,2800,4
400,2250,2900,4
500,2200,2900,4
450,2300,2900,4
450,2300,3100,4
450,2250,2900,4
400,2150,2900,4
400,900,2700,5
400,1000,2700,5
450,1200,2700,5
500,1100,2700,5
600,1050,2700,5
450,1100,2700,5
550,1250,2700,5
500,1250,2700,5
450,1100,2700,5
400,1200,2700,5
600,1150,2700,5
450,1150,2700,5
400,1000,2200,5
400,1150,2200,5
400,1160,2600,5
400,1100,2300,5
400,1000,2300,5
450,1100,2300,5
400,1300,2300,5
450,1150,2300,5
600,1200,2300,5
500,1200,2300,5
550,1250,2300,5
500,1000,2300,5
500,1000,2300,5
400,1000,2300,5
500,1200,2300,5
400,1100,2300,5
500,1200,2300,5
550,1100,2300,5
400,900,2300,5
400,1000,2300,5
450,1050,2300,5
450,1050,2300,5
400,1000,2300,5
400,1100,2300,5
400,1000,2300,5
450,1100,2300,5
400,1300,2300,5
450,1150,2300,5
600,1200,2300,5
600,1200,2300,5
500,1200,2300,5
500,1250,2300,5
500,1000,2300,5
500,1000,2300,5
400,1000,2300,5
500,1200,2300,5
500,1100,2250,5
400,1100,2300,5
500,1200,2300,5
600,1200,2300,5
550,1100,2300,5
500,1200,2300,5
400,1200,2400,5
450,1000,2350,5
400,1000,2400,5
450,1000,2350,5
450,1100,2300,5
450,950,2100,5
500,1000,2300,5
500,1100,2250,5
600,1200,2300,5
500,1200,2300,5
500,1050,2720,5
500,1000,2720,5
550,1250,2720,5
500,1150,2720,5
600,1100,2720,5
600,1150,2720,5
500,1100,2720,5
500,1000,2600,5
500,1000,2700,5
400,950,2700,5
500,1000,2650,5
550,1250,2600,5
500,1100,2700,5
600,1100,2700,5
550,1300,2800,5
600,1100,2750,5
550,1500,2800,5
600,1300,2800,5
550,1100,2800,5
450,1250,2850,5
500,1000,2560,5
500,1000,2560,5
500,1050,2560,5
550,1050,2560,5
500,1000,2560,5
500,850,2560,5
400,800,2560,5
500,950,2560,5
450,900,2250,5
550,1000,2500,5
500,1100,2500,5
500,1900,2250,5
500,900,2700,5
500,1050,2500,5
500,1050,2600,5
500,1000,2600,5
500,950,2600,5
500,1000,2600,5
500,1000,2500,5
500,1000,2600,5
500,900,2500,5
500,1000,2400,5
550,1050,2500,5
550,1000,2600,5
500,1000,2300,5
450,1200,2300,5
500,1050,2300,5
450,1000,2300,5
400,1000,2300,5
450,1150,2300,5
450,1200,2300,5
450,1200,2300,5
500,1000,2300,5
500,1000,2300,5
400,1000,2300,5
400,1000,2300,5
400,1000,2300,5
500,1050,2300,5
400,1050,2300,5
450,900,2300,5
400,850,2300,5
500,950,2300,5
400,1000,2300,5
400,850,2300,5
450,1000,2300,5
500,1000,2300,5
500,1000,2300,5
500,850,2300,5
400,900,2300,5
500,1050,2300,5
450,1000,2350,5
400,1000,2300,5
400,1000,2400,5
450,1050,2300,5
450,1050,2300,5
450,1000,2350,5
450,1100,2300,5
400,1000,2300,5
450,950,2100,5
500,1000,2300,5
450,1050,2760,5
500,1100,2760,5
600,1000,2700,5
500,900,2800,5
400,900,2700,5
500,900,2750,5
500,1000,2800,5
500,1000,2700,5
500,1000,2700,5
500,1000,2900,5
500,1000,2700,5
500,1000,2750,5
500,1000,2700,5
400,1000,2800,5
550,1100,2850,5
500,1000,2800,5
450,900,2750,5
400,800,2700,5
600,1050,2850,5
550,1000,2800,5
450,1000,2700,5
500,1100,2800,5
450,900,2900,5
500,1000,2800,5
550,1100,2750,5
500,950,2700,5
500,1000,2600,5
500,1000,2900,5
500,900,2800,5
500,1050,2800,5
500,1050,3000,5
500,1050,2900,5
500,1000,3000,5
500,1000,2800,5
500,900,2800,5
500,950,2700,5
